web-scraper-start-url,yearrersults,yearrersults-href,Year ▴,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
"http://nflcombineresults.com/large-combine-data-update-complete/","2006 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2006&pos=&college=","null","Quinton Porter","Boston College","QB","76.63","233","","4.72","","33.5","116","4.10","6.76"
"http://nflcombineresults.com/large-combine-data-update-complete/","2012 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2012&pos=&college=","null","Johnnie Troutman","Penn State","OG","75.88","325","","5.52","31","27.5","","5.00","7.96"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Jason Mills","Tulsa (OK)","OG","77.10","315","","5.43","30","24.0","104","4.64","7.87"
"http://nflcombineresults.com/large-combine-data-update-complete/","1989 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1989&pos=&college=","null","Darryl Ingram","California","TE","74.80","228","","4.79","16","30.0","114","4.49","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2002 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2002&pos=&college=","null","Jeremy Allen","Iowa","FB","71.80","241","","4.60","17","38.0","122","4.49","7.06"
"http://nflcombineresults.com/large-combine-data-update-complete/","2011 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2011&pos=&college=","null","Allen Reisner","Iowa","TE","74.25","248","","4.90","14","28.0","108","4.59","7.31"
"http://nflcombineresults.com/large-combine-data-update-complete/","1987 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1987&pos=&college=","null","Harris Barton","North Carolina","C","76.30","280","","5.03","24","31.0","106","4.46","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Stacey Dillard","Oklahoma","DT","76.90","289","","5.15","19","30.0","110","4.69","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2009 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2009&pos=&college=","null","Cornelius Lewis","Tennessee State","OT","75.50","332","","5.22","29","24.5","90","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2001 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2001&pos=&college=","null","Leonard Davis","Texas","OT","78.00","370","","5.32","33","28.0","105","5.18","8.20"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Marlon Barnes","Colorado","RB","70.00","211","","4.49","18","35.5","120","4.32","7.31"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Harold Hicks","San Diego State","FS","71.60","199","","4.49","13","36.5","126","4.30","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1991 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1991&pos=&college=","null","Mark Drabczak","Minnesota","OT","76.00","277","","5.25","20","25.5","101","4.79","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Marc Boutte","Louisiana State","DE","75.00","298","","5.14","16","29.5","96","4.81","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2009 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2009&pos=&college=","null","Trevor Canfield","Cincinnati","OG","76.50","307","","5.30","29","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1994 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1994&pos=&college=","null","Herman Carroll","Mississippi State","DE","75.90","267","","5.05","15","30.0","112","4.51","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2001 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2001&pos=&college=","null","Correll Buckhalter","Nebraska","RB","73.00","226","","4.53","11","40.0","","4.06","7.08"
"http://nflcombineresults.com/large-combine-data-update-complete/","2011 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2011&pos=&college=","null","Jeron Johnson","Boise State","SS","70.25","212","","4.51","23","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Steve Israel","Pittsburgh","CB","70.80","186","","9.99","10","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2014 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2014&pos=&college=","null","John Urschel","Penn State","OG","75.00","313","","5.31","30","29.0","101","4.47","7.55"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Jon Runyan","Michigan","OT","79.50","308","","5.34","25","24.5","103","4.73","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Marcus Murphy","Missouri","RB","68.00","193","","4.61","11","29.0","109","4.40","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2013 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2013&pos=&college=","null","Levine Toilolo","Stanford","TE","80.00","260","","4.86","17","31.0","113","4.57","7.09"
